year , AgricultureIrrigatedLand
2021,42.26577835
2020,42.2658231
2019,39.96421599
2018,38.789308
2017,38.30101211
2016,37.47675105
2015,38.05927369
2014,37.89949257
2013,36.78560696
2012,36.32947752
2011,35.39878666
2010,34.49237914
2009,35.34164871
2008,34.65011098
2007,34.93207883
2006,33.81654864
2005,32.86921377
2004,31.63298683
2003,30.7335963
2002,31.53300842
2001,32.20730579
