year, AccessToElectricity
2021,99.57252502
2020,96.5
2019,95.88594055
2018,95.7
2017,91.79415894
2016,89.58630371
2015,88
2014,85.13391113
2013,83.13139343
2012,79.9
2011,79.51678467
2010,76.3
2009,75
2008,74.11849213
2007,72.3407135
2006,67.9
2005,68.8404541
2004,64.4
2003,65.41201019
2002,62.3
2001,62.00543976
2000,60.29283905
1999,60.1
1998,56.18213272
1997,54.59486389
1996,53.00352097
1995,51.40877533
1994,49.81130981
1993,50.9
