year,ForestA
2021,724264
2020,721600
2019,718936
2018,716272
2017,713608
2016,710944
2015,708280
2014,705616
2013,702952
2012,700288
2011,697624
2010,694960
2009,693055
2008,691150
2007,689245
2006,687340
2005,685435
2004,683530
2003,681625
2002,679720
2001,677815
2000,675910
1999,672257
1998,668604
1997,664951
1996,661298
1995,657645
1994,653992
1993,650339
1992,646686
1991,643033
1990,639380
